paper_url,paper_name,paper_year,Abstract,Keywords,PMID,Affiliations
https://www.ncbi.nlm.nih.gov/pubmed/41110098,Comparison of postpartum depression and mother-infant bonding between diabetic and non-diabetic mothers: Prospective cohort study.,2025,"To compare the incidence of postpartum depression, mother-infant bonding, and anxiety among women with diabetes mellitus. This prospective cohort study included women who had singleton pregnancies and delivered a live neonate (either vaginal delivery or cesarean delivery) in a tertiary care center in South India. Group A consisted of women with gestational diabetes mellitus who received medical management. Group B included age-, gestational age-, and parity-matched women with no medical comorbidities. Both groups were administered locally validated versions of three questionnaires (Patient Health Questionnaire [PHQ-9], the Generalized Anxiety Disorder Questionnaire [GAD-7], and Postpartum Bonding Questionnaire [PBQ]) at two points (1-3 days postnatal/postoperative (T1) and 6 weeks postpartum). The variables were assessed using χ<sup>2</sup> or Fisher exact tests. Binomial logistic regression was used to identify risk factors for depression in the diabetic group. A total of 520 women (260 in each arm) were recruited and analyzed; their demographic variables were comparable. Diabetic women had a significantly higher incidence of depression (assessed using PHQ-9 score) in the immediate postpartum period (11.9% versus 5.8%; odds ratio [OR] 2.21, P = 0.013) and 6 weeks postpartum (4.6% versus 1.2%; P = 0.018). However, the levels of maternal anxiety (17 [6.5%] versus 14 [5.4%]; P = 0.578) and mother-child bonding (0 [0%] versus 0 [0%]; P = 1) at time point 1 were comparable. No significant differences were observed in maternal anxiety and bonding at time point 2. Multiple logistic regression revealed neonatal intensive care unit admission (adjusted OR 11.83, 95% confidence interval 3.7-37.78; P = 0.000) as significant predictors for early postpartum depression. Postpartum depression was significantly higher in women having antenatal diabetes. However, maternal anxiety and mother-child bonding were comparable.",,41110098,[]
https://www.ncbi.nlm.nih.gov/pubmed/41110003,Peri-procedural and 6-month outcomes of rotational atherectomy for highly calcified femoropopliteal lesions from Japanese postmarketing surveillance.,2025,"To evaluate the peri-procedural and 6-month outcomes of the Jetstream rotational atherectomy system in treating severely calcified femoropopliteal lesions in a Japanese population under postmarketing surveillance (PMS). This prospective observational PMS included 154 patients (161 procedures) treated at 20 Japanese centers between September 2022 and March 2023. Eligible lesions were ≥ 70% stenosed and severely calcified. Procedural success was defined as no bailout stenting or bypass. Lesion success required ≤ 30% residual stenosis, no Grade C or higher dissection, no perforation requiring treatment, and no significant flow reduction. Six-month follow-up included duplex ultrasound, Ankle-Brachial Index, and Rutherford category assessment. Patients had a mean age of 74.3 years; 74.7% had diabetes while 44.8% were currently on dialysis. Most lesions were in the superficial femoral artery with a mean length of 80.0 mm. Lesions were severely calcified (99.4%), and 33.3% of patients had chronic limb threatening ischemia at baseline. Procedural and lesion success rates were 98.8% and 96.6%, respectively. Distal embolization occurred in 5.8% of procedures. At 6 months, primary patency was 87.5%, freedom from TLR was 98.8%, and 87.1% of patients showed hemodynamic improvement without reintervention. All-cause mortality was 7.8% at 6-months post procedure. The Jetstream atherectomy system demonstrated high procedural and lesion success with acceptable complication rates in complex, calcified femoropopliteal lesions. These findings support its use in combination with drug-coated balloons in real-world Japanese clinical practice. Level 3a, Nonrandomized postmarket surveillance.",,41110003,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109997,Biventricular Interatrial Shunt With Desaturation After Atrial Septal Defect Repair.,2025,"Patients after atrial septal defect (ASD) repair with residual shunt, elevated pulmonary arterial pressure or arrhythmias, and those repaired at adult age should be followed on a regular basis. This case describes a 43-year-old female with previous ASD repair, who presented with breathlessness, tiredness, and evidence of desaturation on exercise with a mildly positive bubble echo. While local investigations were inconclusive, diagnostic tests performed at our center revealed an inferior sinus venosus ASD-type defect with bidirectional flow, even though neither right-heart dilatation, pulmonary hypertension nor hemodynamically significant shunt was identified. The patient was offered surgical repair of the residual interatrial communication to give the patient symptomatic benefit. This case demonstrates a rare presentation of a post-ASD repair patient with bidirectional shunt without right-heart overload and no pulmonary hypertension. Patients with repaired congenital defects should be followed up by specialized congenital services at reasonable interval based on the lesion and the results of the repair.",,41109997,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109968,Model Informed Precision Dosing of Tacrolimus in Children Following Heart Transplant.,2025,"Tacrolimus is a first-line immunosuppressant used after solid organ transplantation that suffers from extensive intra- and inter-patient variability and a narrow therapeutic window. Its critical role in a fragile population, coupled with the difficulties identifying and maintaining an appropriate dose within a given patient, make it an ideal candidate for population pharmacokinetic (popPK)-guided individualized dosing approaches (i.e., model informed precision dosing, MIPD). We previously published a tacrolimus popPK model in pediatric heart transplant recipients that showed promise in its ability to predict future concentrations within an individual. Using that model, we developed a Bayesian forecasting decision support tool (DST) clinical use to more rapidly attain appropriate tacrolimus dosing in this population. After rigorous in silico testing of the DST's mathematical fidelity to the popPK model, we implemented the DST within a clinical trial (NCT04380311). Fifteen children between 6 months and 17 years of age had their tacrolimus doses guided by the DST to determine the time to stable therapeutic tacrolimus dosing (defined by three consecutive concentrations within the targeted therapeutic range). DST-guided dosing achieved stable tacrolimus dosing ∼3 days faster (6.9 days, P = .03) as compared to a historical cohort (9.8 days). This was despite the poor performance of the DST in two children treated with continuous renal replacement therapy. These results demonstrate the clinical utility and benefit of the described DST, which is the first targeted to the pediatric heart transplant population. Rapid attainment of stable therapeutic tacrolimus dosing has benefits for the patient, clinician, and the healthcare system.",,41109968,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109950,Escherichia coli-Induced Aortitis and Aortic Perforation: A Case Study and Literature Review.,2025,"BACKGROUND Inflammation of the aorta is a potentially life-threatening condition. Infectious aortitis has been associated with various pathogens, although Escherichia coli has rarely been implicated. CASE REPORT We describe an 82-year-old man with a past medical history of diabetes mellitus type II and ischemic heart disease, who presented with a 2-week history of back and abdominal pain. Imaging revealed aortitis with a periaortic fluid collection, from which E. coli was isolated. The patient underwent urgent endovascular aneurysm repair (EVAR) and was treated with 4 weeks of intravenous cefuroxime followed by prolonged oral antibiotics, with normalization of inflammatory markers. Four months later he was readmitted because of septic shock and a large periaortic abscess was diagnosed. He required open drainage and aortic repair and died of complications. We review the literature of 33 cases involving E. coli aortitis, including the present case, of whom the mean age was 69±11, 26 (79%) were male, 31 (94%) were diagnosed by computed tomography (CT) scan, and 27/31 (87%) received surgical intervention. Further, 25 out of 30 patients (83%) for whom all data regarding interventions and survival were available, survived. CONCLUSIONS Aortitis due to E.coli is a potentially fatal infection. Treatment consists preferably of a combination of prolonged intravenous antibiotics - for at least 6 to 12 weeks - and a surgical intervention. If possible, the patient should undergo EVAR, and if not, open corrective surgery, which is associated with a survival rate of 83%.","Humans, Male, Aged, 80 and over, Aortitis, Escherichia coli Infections, Escherichia coli, Fatal Outcome, Anti-Bacterial Agents",41109950,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109941,"Sex, Race, and Geographic Disparities in Mortality of Cardiovascular Diseases due to Thyroid Dysfunction: A 21-Year Longitudinal Analysis Using CDC WONDER Database (1999-2020).",2025,"There are many prognostic factors causing morbidity and mortality due to cardiovascular diseases with ischemic heart disease, stroke, heart failure, atrial fibrillation, and Rheumatic heart disease being major contributors. Thyroid dysfunction also plays an important role in deaths caused by CVDs. The study evaluates the role of hypo and hyperthyroidism which are one of the important causes of CVDs. Death certificates were sourced out from the database of Centers of Disease and Control (CDC) WONDER from 1999 to 2020 in United States. Various factors like sex, race, urbanization and geographical location according to state were used to calculate age adjusted mortality rates (AAMR) at a significance level of less than 0.05. Age-adjusted and crude mortality rates per 1,000,000 population were estimated. The Annual Percentage Changes (APC) were determined by using the Joinpoint Regression Program. Overall, 423,620 deaths were reported between 1999-2020, with AAMRs first increasing from 86.3 in 1999 to 92.9 in 2003, followed by a decline to 87.8 in 2004 and a gradual decrease through 2018 (APC -0.37; p < 0.05), after which a sharp rise occurred until 2020 (APC 14.25; p < 0.05). The males and females show similar mortality trends except for more deaths reported among females (106.2) than in males (59.5). In racial category, NH Whites were reported with highest AAMR (93.7), followed by American Indian or Alaskan Native (89.7), Black or African American (66.8), Hispanics (62.9), while lowest being in Asian or Pacific Islanders (40.2). Throughout the study period, non-metropolitan areas had the highest AAMR values (107.7) than medium/small metropolitan areas (96.1) with large metropolitan areas (77.1) having lowest throughout. Six states have shown the AAMR in the 90th percentile with West Virginia being highest whereas the state of Nevada has the lowest AAMR value. The findings in this study show significant sex and racial disparities providing an insight of the importance regarding mortality due to thyroid dysfunction in cardiovascular diseases. Addressing risk factors and precipitating events requires targeted health policy actions in order to improve outcomes for impacted populations.",,41109941,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109938,Gaps and Disparities in Celiac Disease Screening: A Nationwide Analysis of a High-Risk Pediatric Population.,2025,"Despite established screening guidelines for celiac disease (CeD) targeting high-risk groups, many people remain undiagnosed, leading to potential long-term health consequences. The aim of this study was to evaluate adherence to CeD screening guidelines among children with high-risk conditions. We performed a retrospective cohort analysis utilizing United States (US) private payer claims data from 2007 to 2022 to identify children ≤ 20 years who met screening criteria for CeD. All children had at least one high-risk condition recommended for CeD screening by professional organizations. Those with a history of CeD were excluded. We used descriptive statistics and chi-square tests to assess the presence of CeD screening by age group, race, and condition to determine the value of screening results by race. Logistic regression models were used to identify factors associated with CeD screening. Among 223,449 children with high-risk conditions, only 10.0% were screened. Patients with a family history of CeD had the highest likelihood of being screened (55.49%). Non-White children were screened less frequently than White children (p < .0001), which held true when stratifying by most screening conditions. Children aged < 11 years were screened less frequently than their older peers (p < .0001). In a multivariable model, age and racial disparities in screening persisted. Our findings highlight significant gaps in adherence to CeD screening guidelines, particularly among younger and Non-White children, underscoring the need for improved awareness and implementation of screening practices.",,41109938,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109926,High Incidence of Benign Perianal Disorders After Sleeve Gastrectomy and One Anastomosis Gastric Bypass.,2025,"Bariatric surgery may alter bowel habits, potentially leading to new-onset benign perianal disorders (NOPD). This study aimed to assess the incidence and identify potential risk factors of NOPD following vertical sleeve gastrectomy (VSG) and one anastomosis (mini) gastric bypass (OAGB). We conducted a retrospective cross-sectional, single-center study using retrospective analysis of prospectively collected data. All patients who underwent VSG or OAGB between 2015-2018 were considered. NOPD diagnoses were based on physical examinations and a standardized phone questionnaire assessing past and present perianal symptoms. Of 540 eligible patients, 313 participated (150 VSG, 163 OAGB). Among 264 patients without prior perianal disorders, 96 (36.4%) developed NOPD postoperatively-29.6% in the VSG group vs. 42.4% in the OAGB group (p = 0.04). The most common conditions were hemorrhoidal disease (24.2%), fissures (12.8%), and abscesses/fistulas (3%). Surgical treatment was required in 17.7% (17/96) of affected patients. Increased bowel movement frequency was more common after OAGB than VSG (57.7% vs. 11.7%, p < 0.001). OAGB, younger age, and altered bowel habits were associated with higher NOPD risk. Forty-nine patients (15.7%) reported preexisting perianal disorders, 26.5% of whom experienced worsening symptoms. Overall, 86% of patients were unaware of the link between bariatric surgery and NOPD, and 15% indicated they would not recommend surgery due to these symptoms. NOPD are relatively common after bariatric surgery, particularly OAGB. Patients-especially those with identified risk factors-should be counselled regarding this potential complication during the preoperative decision-making process.",,41109926,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109918,Reconsidering the definition of triple-negative breast cancer in the immune checkpoint inhibitor era: an optimal cut-off value for hormone receptor percentage of HER2-negative invasive breast cancer.,2025,"The optimal cut-off values of estrogen receptor (ER) and progesterone receptor (PgR) expression to define the positivity of ER and PgR have been under discussion for over a decade but remain controversial. The American Society of Clinical Oncology/College of American Pathologists (ASCO/CAP) and the St. Gallen International Expert Consensus recommended that breast cancers with ≥1% of ER or PgR expression should be considered hormone receptor (HR)-positive tumors but ER/PR expression of 1% to 10% should be reported as HR-low positive; however, among HER2-negative disease, data on the overall benefit of adjuvant endocrine therapies for patients with HR-low positive disease is limited, resulting in the revisiting of the definition of triple-negative breast cancer (TNBC). Defining HR-low positive disease by better understanding the biology is essential because of the recent advancement of neoadjuvant and adjuvant systemic therapy strategies, including immune checkpoint inhibitors (ICIs) for TNBC. Additionally, identifying who should be treated with adjuvant endocrine therapy, particularly those who have HR-low HER2-negative disease, which is currently treated as TNBC without adjuvant endocrine therapy, is a clinical unmet need. In clinical practice, treating physicians have tailored systemic treatment strategies using other clinical and pathological factors (i.e., age, grade, Ki-67, tumor size, lymph node involvement). There is no universal practice to treat patients with HR-low HER2-negative breast cancer. This review summarized the currently available data to define the clinically relevant optimal cut-off values of ER/PgR in neoadjuvant- and adjuvant-setting. We recommend considering creating a novel category of triple-negative like breast cancer (TN-like BC), which will require a therapeutic strategy different from conventional TNBC.",,41109918,[]
https://www.ncbi.nlm.nih.gov/pubmed/41109914,"Rate and risk factors for shunt revision in pediatric patients with hydrocephalus during a 17-year study period: a retrospective, population-based study.",2025,"We studied the surgical outcomes of pediatric hydrocephalus (HC) patients requiring primary cerebrospinal fluid (CSF) diversion surgery with ventriculoperitoneal shunt (VPS) in a retrospective population-based study. The medical records of 92 patients under 16 years of age with HC requiring primary VPS were reviewed. Patients with Strata adjustable valve were studied in their own cohort. The rate and the risk factors for shunt revision were analyzed. We found 92 patients treated with primary VPS. Strata adjustable valve shunt was used in 43 patients. The mean age at the time of primary shunt insertion was 3.2 years (SD 4.7 years). The mean follow-up time for shunted patients was 5.9 years (SD 6.8 years), and 5.3 years (SD 5.3 years) for the Strata valve subgroup. The most common etiologies of HC were tumors (29.3%), congenital defects (CD) (21.7%), and intraventricular hemorrhage (IVH) (22.8%) in shunted patients. During the follow-up period, 54.3% of all shunted patients and 48.8% of Strata valve shunted patients underwent at least one revision surgery. The mean time to revision surgery was 1.0 years. Revision rates in the CD group (70%) were higher compared to the tumor group (37%) (P = 0.044). Patients younger than 6 months had higher shunt revision rates than older patients (P = 0.036). Out of the 92 shunted patients, 54.3% underwent revision surgery, with most revisions occurring within the first year after initial VPS placement. Patient characteristics, such as congenital defects and age under 6 months, were associated with a higher risk for shunt revision. The use of the Strata adjustable valve did not have a statistically significant impact on shunt revision rates.","Humans, Hydrocephalus, Female, Male, Retrospective Studies, Ventriculoperitoneal Shunt, Risk Factors, Child, Preschool, Child, Reoperation, Infant, Adolescent, Follow-Up Studies, Treatment Outcome, Postoperative Complications",41109914,[]
