paper_url,paper_name,paper_year,abstract,keywords,doi_url
https://pmc.ncbi.nlm.nih.gov/articles/PMC12449388/,Quo Vadis Gerotranscendence? A Systematic Literature Network Analysis of Existing Themes and Emerging Trends in Gerotranscendence Theory with a Focus on International Applications,2025,"Lars Tornstam’s Gerotranscendence Theory suggests that the aging process involves a shift in perspective from materialistic concerns to a more cosmic outlook, characterized by transcendence in cosmic, personal, and social dimensions. This study uses a Systematic Literature Network Analysis to explore the central themes and emerging trends in gerotranscendence-related research. A total of 139 articles published between 1992 and 2024 were retrieved from the ISI Web of Science database. The findings revealed core thematic areas including aging care, religiosity, and reminiscence, along with emerging areas such as marketing, environmental design, and gerontology. Although the theory originated in Sweden, its application has become increasingly global, with significant research in countries such as India, China, and Turkey. Despite its relatively recent development, gerotranscendence demonstrates considerable potential as a conceptual framework for interventions that promote positive aging.",Gerotranscendence; Tornstam; Gerontological theory; Gerontological nursing; Original Paper,https://doi.org/10.1007/s10943-025-02349-9
https://pmc.ncbi.nlm.nih.gov/articles/PMC12384970/,Cellular Models of Aging and Senescence,2025,"Aging, a state of progressive decline in physiological function, is an important risk factor for chronic diseases, ranging from cancer and musculoskeletal frailty to cardiovascular and neurodegenerative diseases. Understanding its cellular basis is critical for developing interventions to extend human health span. This review highlights the crucial role of in vitro models, discussing foundational discoveries like the Hayflick limit and the senescence-associated secretory phenotype (SASP), the utility of immortalized cell lines, and transformative human induced pluripotent stem cells (iPSCs) for aging and disease modeling and rejuvenation studies. We also examine methods to induce senescence and discuss the distinction between chronological time and biological clock, with examples of applying cells from progeroid syndromes and mitochondrial diseases to recapitulate some signaling mechanisms in aging. Although no in vitro model can perfectly recapitulate organismal aging, well-chosen models are invaluable for addressing specific mechanistic questions. We focus on experimental strategies to manipulate cellular aging: from “steering” cells toward resilience to “reversing” age-related phenotypes via senolytics, partial epigenetic reprogramming, and targeted modulation of proteostasis and mitochondrial health. This review ultimately underscores the value of in vitro systems for discovery and therapeutic testing while acknowledging the challenge of translating insights from cell studies into effective, organism-wide strategies to promote healthy aging.",cellular aging; senescence; induced pluripotent stem cells (iPSCs); epigenetic reprogramming; mitochondrial dysfunction; senolytics; progeroid syndromes; in vitro models; cardiovascular aging; neurodegeneration; Review,https://doi.org/10.3390/cells14161278
https://pmc.ncbi.nlm.nih.gov/articles/PMC12465629/,Utilizing nutrition-related biomarkers to develop a nutrition-related aging clock for the chinese demographic,2025,,the nutrition-related aging clock; bioelectrical impedance analysis; aging biomarkers; oxidative stress markers; interindividual aging variation; Nutrition,https://doi.org/10.3389/fnut.2025.1563220
https://pmc.ncbi.nlm.nih.gov/articles/PMC12449021/,"Perspectives of multidisciplinary healthcare providers in elderly daycare centres: Challenges, opportunities and impacts on geriatric care in Chiangrai Municipality, Thailand",2025,"The global surge in the ageing population has intensified pressure on healthcare delivery systems, leading to a heightened demand for elderly daycare services. This demographic shift necessitates innovative approaches to meet the complex needs of older adults, including expanding community-based care options. Elderly daycare centers play a crucial role in comprehensive geriatric care by offering services. Understanding how healthcare providers experience their work in Elderly Daycare Centres is essential for improving both service quality and staff preservation. This study seeks the experiences of these providers to understanding of meanings healthcare professionals assign to challenges they face, the successful practices they employ, and highlight opportunities for enhancement within geriatric care.

Interpretative phenomenology influenced by Heidegger’s philosophy in qualitative research was conducted. Thirteen semi-structured interviews and narrative accounts with multidisciplinary healthcare providers from four Elderly Daycare Centres were collected and analysed, and interpretative phenomenological analysis (IPA). Multidisciplinary healthcare providers discovered four key aspects of their experience while delivering services in the first two programs (the Muscle Strengthening Program and the Nutrition Program for individuals with nutritional deficiencies): <italic toggle=""yes"">Opportunities in policy implementation, Challenging experience, Enhancing organisational effectiveness and engaging support, and Reflections on Program Outcomes and Impacts</italic>. All findings mirrored the value and impact of providing healthcare services in Elderly Daycare Centres on the experiences of healthcare providers from various disciplines. Elderly Daycare Centres not only provide healthcare services that offer emotional support but also positively influence seniors’ mental and physical well-being. Multidisciplinary healthcare providers caring for older adults encounter various experiences shaped by the complexities of aging populations. Support of this nature will heighten awareness of the difficulties elderly individuals encounter and advance potential solutions. Therefore, healthcare professionals stressed the need for a more holistic and coordinated care framework to improve both the delivery of services and health outcomes for elderly individuals.",Research Article; Medicine and Health Sciences; Medicine and Health Sciences; People and Places; Medicine and Health Sciences; People and Places; Medicine and Health Sciences; Medicine and Health Sciences; Medicine and Health Sciences; Medicine and Health Sciences,https://doi.org/10.1371/journal.pone.0331453
https://pmc.ncbi.nlm.nih.gov/articles/PMC12520855/,Pathophysiology of geriatric diseases in dogs and cats: a foundation for geriatric care,2025,,Aging; longevity; multimorbidity; frailty; geroscience; Narrative Review,https://doi.org/10.4142/jvs.25220
https://pmc.ncbi.nlm.nih.gov/articles/PMC12512770/,Activating health behaviors: how does digital infrastructure improve the physical health of middle-aged and older adults? Evidence from the ‘Broadband China’ pilot policy,2025,,digital divide; public health intervention; health behavior; health inequality; quasi-experimental design; Research Article; Research Article,https://doi.org/10.1080/16549716.2025.2568779
https://pmc.ncbi.nlm.nih.gov/articles/PMC12391859/,"The Juvenile Parkinson's Disease Mutation <styled-content style=""fixed-case"" toggle=""no"">C212Y</styled-content> Impairs Mitochondrial Homeostasis in a <styled-content style=""fixed-case"" toggle=""no"">Caenorhabditis elegans</styled-content> Model",2025,"Inherited Parkinson's disease (PD) often involves missense mutations in the PRKN2 gene, encoding for <italic toggle=""no"">Parkin</italic> protein. The PDR‐1 protein is the <styled-content style=""fixed-case"" toggle=""no"">
<italic toggle=""no"">C. elegans</italic>
</styled-content> ortholog of human <italic toggle=""no"">Parkin</italic>. Using a CRISPR/Cas9 genome editing approach, we generated the PDR‐1<sup>
<italic toggle=""no"">C169Y</italic>
</sup> point mutation on a conserved cysteine residue in the RING0 domain. This mutation in human <italic toggle=""no"">Parkin</italic>, C212Y, has been identified in autosomal recessive juvenile Parkinsonism patients. The PDR‐1<sup>C169Y</sup> homozygous mutant animals exhibited a shorter lifespan and decreased thrashing rate compared with wild‐type or heterozygous animals. Unique mitochondrial phenotypes were observed, including an increased mitochondrial area and mitochondrial membrane potential. However, these phenotypes did not activate the mitochondrial unfolded protein response. Pan‐neuronal analysis revealed decreased mitophagy. Dopaminergic neurodegeneration in aged animals was not enhanced when compared to WT. Our findings suggest that analysis of the recessive missense point mutations found in early‐onset PD using the <styled-content style=""fixed-case"" toggle=""no"">
<italic toggle=""no"">C. elegans</italic>
</styled-content> model system has the potential to advance our understanding of the molecular mechanisms that lead to neurodegeneration.","missense mutations; mitochondria; <italic toggle=""no"">Parkin</italic><sup>C212Y</sup>; Parkinson's disease; PDR‐1<sup>C169Y</sup>; Research Article; Research Article",https://doi.org/10.1096/fj.202402785RRR
https://pmc.ncbi.nlm.nih.gov/articles/PMC12465060/,Muscle homing peptide modified liposomes loaded with EGCG improved skeletal muscle dysfunction by inhibiting inflammation in aging mice,2025,"Skeletal muscle aging frequently leads to a reduction in muscle mass and strength, significantly compromising the quality of life in elderly individuals. Skeletal muscle dysfunction during aging is widely recognized to be closely linked to chronic inflammation, oxidative stress and mitochondrial dysfunction. In this study, we confirmed the successful synthesis of M12 (muscle homing peptide)-modified EGCG (Epigallocatechin gallate) liposomes and validated their specific targeting to skeletal muscle through immunofluorescence analysis and in vivo imaging in small animal models. Both in vivo and in vitro experiments demonstrated that M12EGLP effectively suppressed the expression of inflammatory markers such as TNF-α and IL-6, thereby alleviating oxidative stress and restoring mitochondrial function in skeletal muscle. These effects ultimately contributed to the improvement of skeletal muscle dysfunction in aging mice. We have developed M12-modified EGCG liposomes (M12EGLP), a targeted drug delivery system capable of specifically accumulating in skeletal muscle, thereby enhancing the bioavailability and therapeutic potential of EGCG. M12EGLP enhances the exercise capacity of aging mice by reducing skeletal muscle inflammation, which subsequently alleviates oxidative stress and improves mitochondrial function. Therefore, as a novel and targeted drug delivery system, M12EGLP may provide a promising therapeutic strategy for the clinical management of age-related skeletal muscle dysfunction.",Epigallocatechin gallate; Liposome; Aging; Skeletal muscle; Inflammation; Full Length Article,https://doi.org/10.1016/j.mtbio.2025.102265
https://pmc.ncbi.nlm.nih.gov/articles/PMC12428354/,"Effects and Mechanisms of Long-Term <italic toggle=""yes"">Lycium barbarum</italic> Water Consumption on Skeletal Muscle Function in Aged Mice",2025,"With the global aging population, skeletal muscle aging has threatened to elderly health, making dietary interventions for age-related muscle decline a research priority. <italic toggle=""yes"">Lycium barbarum</italic>, a traditional food and medicinal herb, was used in the study to prepare <italic toggle=""yes"">Lycium barbarum</italic> water (LBW). This experiment was conducted in animals and included four groups: young control (C-Young), aged control (C-Aged), young LBW-drinking (G-Young), and aged LBW-drinking (G-Aged). Assessments covered skeletal muscle mass, cross-sectional area, and exercise ability to compare health status. The study measured mRNA expression of Atrogin-1 and MuRF-1 from the Forkhead Box O (FOXO) pathway, advanced glycation end products (AGEs) and senescence-associated β-galactosidase (SA-β-gal), oxidative stress levels via superoxide dismutase (SOD), malondialdehyde (MDA) and glutathione (GSH), inflammatory levels through interleukin-10 (IL-10) and tumor necrosis factor-alpha (TNF-α), and applied untargeted metabolomics to profile metabolic alterations. Optimal LBW was achieved at 80 °C with a 1:10 (<italic toggle=""yes"">w</italic>/<italic toggle=""yes"">v</italic>) solid-liquid ratio. In aged mice, long-term LBW administration improved exercise capacity, reduced muscle atrophy, and increased muscle mass, alongside decreased aging-related markers, alleviated oxidative stress, and modulated inflammatory levels. Additionally, metabolomics confirmed age-related oxidative stress and inflammation. Long-term LBW consumption alleviates age-related skeletal muscle dysfunction via multi-target regulation, holding promise as a natural nutritional intervention for mitigating skeletal muscle aging.","<italic toggle=""yes"">Lycium barbarum</italic> water; skeletal muscle aging; oxidative stress; inflammation; aging-related factors; metabolomics analysis; Article",https://doi.org/10.3390/foods14173049
https://pmc.ncbi.nlm.nih.gov/articles/PMC12480457/,Local homeostasis preserves global neural dynamics compensating for structural loss during human lifespan aging,2025,"Aging brain undergoes a structural decline over lifespan accompanied by changes in neurotransmitter levels, leading to altered functional markers. Past studies have reported human resting state brain display a remarkable preservation of coordination among neural assemblies stemming from an underlying neurocomputational principles along aging trajectories, however, the true nature of which remains unknown. Here, we identify the computational mechanisms with which neurotransmitters, such as altered GABA and glutamate concentrations, can preserve functional integration across lifespan aging, despite structural decline. We employ multiscale, biophysically grounded modeling, constrained by the empirically derived anatomical connectome of the human brain, where the neurotransmitter concentrations can be free parameters that are algorithmically adjusted to maintain regional homeostasis and optimal working point. The two estimated neurotransmitters can maintain critical firing rates in the brain region and mimic age-associated functional connectivity patterns, consistent with empirical observations. We identified invariant GABA and reduced glutamate as the principle computational mechanism that can explain the topological variation of functional connectivity along lifespan, validated using graph-theoretic metrics. The results are subsequently replicated on three distinct datasets. Thus, the study offers an operational framework that integrates brain network dynamics at macroscopic and molecular scales, to gain insight into age-associated neural disorders.


<graphic position=""anchor"" id=""d33e219"" orientation=""portrait"" http://www.w3.org/1999/xlink href=""42003_2025_8690_Figa_HTML.jpg""></graphic>
",Biophysical models; Prognostic markers; Article,https://doi.org/10.1038/s42003-025-08690-9
